SourceFile,SearchKey,ODSCode,OrganisationName,ServiceIndex,ServiceCode,ServiceName,ContactIndex,ContactMethodType,ContactValue
page_000026.json,X101849,NJG01,Impact on Teesside,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000026.json,X101849,NJG01,Impact on Teesside,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,admin@impactonteesside.com
page_000026.json,X101849,NJG01,Impact on Teesside,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://www.impactonteesside.com/online-self-referral/
page_000026.json,X101929,1-1190770444,Field Lodge,1,SRV0314,Care services for people with dementia,1,Telephone,01342 337220
page_000026.json,X101929,1-1190770444,Field Lodge,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000027.json,X102126,TAJ53,Wolverhampton Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0800 923 0222
page_000027.json,X102126,TAJ53,Wolverhampton Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000027.json,X102126,TAJ53,Wolverhampton Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,bchft.wolverhamptontalkingtherapies@nhs.net
page_000027.json,X102126,TAJ53,Wolverhampton Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://www.iaptportal.co.uk/selfreferral.aspx?ServiceCode=WOL
page_000027.json,X102490,1-1459306141,Perry Manor,1,SRV0314,Care services for people with dementia,1,Telephone,01342 337220
page_000027.json,X102490,1-1459306141,Perry Manor,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000027.json,X102771,1-1274568782,Tiverton Drive,1,SRV0315,Care services for people with learning disabilities,1,Telephone,01905798247
page_000027.json,X102771,1-1274568782,Tiverton Drive,1,SRV0315,Care services for people with learning disabilities,2,PhoneExt,
page_000027.json,X102775,1-1474529515,Priors House,1,SRV0314,Care services for people with dementia,1,Telephone,01342 337220
page_000027.json,X102775,1-1474529515,Priors House,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000027.json,X102810,1-1207038123,Sandfields,1,SRV0314,Care services for people with dementia,1,Telephone,01342 337220
page_000027.json,X102810,1-1207038123,Sandfields,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000027.json,X102864,1-1228071068,Woodland Hall,1,SRV0314,Care services for people with dementia,1,Telephone,01342 337220
page_000027.json,X102864,1-1228071068,Woodland Hall,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000027.json,X102895,1-1465022022,Mildenhall Lodge,1,SRV0314,Care services for people with dementia,1,Telephone,01342 337220
page_000027.json,X102895,1-1465022022,Mildenhall Lodge,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000027.json,X102946,1-1438762899,Kent Enablement at Home,2,SRV0315,Care services for people with learning disabilities,1,Telephone,01732 225200
page_000027.json,X102946,1-1438762899,Kent Enablement at Home,2,SRV0315,Care services for people with learning disabilities,2,PhoneExt,
page_000027.json,X102946,1-1438762899,Kent Enablement at Home,4,SRV0323,Caring for adults under 65,1,Telephone,01732 225200
page_000027.json,X102946,1-1438762899,Kent Enablement at Home,4,SRV0323,Caring for adults under 65,2,PhoneExt,
page_000027.json,X102971,1-1387903559,Lydia Eva Court,2,SRV0317,Caring for adults over 65,1,Telephone,01603 741717
page_000027.json,X102971,1-1387903559,Lydia Eva Court,2,SRV0317,Caring for adults over 65,2,PhoneExt,
page_000027.json,X103016,1-1348855505,Winchcombe Place,1,SRV0314,Care services for people with dementia,1,Telephone,01342 337220
page_000027.json,X103016,1-1348855505,Winchcombe Place,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),1,SRV0314,Care services for people with dementia,1,Telephone,01226 720745
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),2,SRV0320,Care services for people with eating disorders,1,Telephone,01226 720745
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),2,SRV0320,Care services for people with eating disorders,2,PhoneExt,
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),3,SRV0315,Care services for people with learning disabilities,1,Telephone,01226 720745
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),3,SRV0315,Care services for people with learning disabilities,2,PhoneExt,
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),4,SRV0317,Caring for adults over 65,1,Telephone,01226 720745
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),4,SRV0317,Caring for adults over 65,2,PhoneExt,
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),5,SRV0313,Caring for children (0 - 18),1,Telephone,01226 720745
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),5,SRV0313,Caring for children (0 - 18),2,PhoneExt,
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),6,SRV0316,Mental health conditions,1,Telephone,01226 720745
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),6,SRV0316,Mental health conditions,2,PhoneExt,
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),7,SRV0321,Physical disabilities,1,Telephone,01226 720745
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),7,SRV0321,Physical disabilities,2,PhoneExt,
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),8,SRV0322,Sensory impairments,1,Telephone,01226 720745
page_000027.json,X103061,1-1326680856,Caremark (Barnsley),8,SRV0322,Sensory impairments,2,PhoneExt,
page_000027.json,X103184,1-1228095928,Franklin House,1,SRV0314,Care services for people with dementia,1,Telephone,01342 337220
page_000027.json,X103184,1-1228095928,Franklin House,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000027.json,X103378,RWK1H,Richmond Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0203 513 4455
page_000027.json,X103378,RWK1H,Richmond Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000027.json,X103378,RWK1H,Richmond Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,Richmondwellbeing@swlstg.nhs.uk
page_000027.json,X103378,RWK1H,Richmond Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://swlstg.nhs.uk/richmond-self-referral
page_000027.json,X103380,RWK79,Newham Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0208 175 1770
page_000027.json,X103380,RWK79,Newham Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000027.json,X103380,RWK79,Newham Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,elft.eris.nhs.uk
page_000027.json,X103380,RWK79,Newham Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://gateway.mayden.co.uk/referral-v2/a02250cc-9548-480f-9fa6-1c96704e8604
page_000027.json,X103462,RT260,NHS Bury Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0161 716 2222
page_000027.json,X103462,RT260,NHS Bury Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000027.json,X103462,RT260,NHS Bury Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,pcn-tr.burytalkingtherapies@nhs.net
page_000027.json,X103462,RT260,NHS Bury Talking Therapies,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://www.iaptportal.co.uk/ServiceUser/SelfReferralForm.aspx?sd=e648e49f-63d5-407d-a200-eccbc8735ab6
page_000027.json,X103764,RY2X3,Think Wellbeing Halton,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0151 292 6954
page_000027.json,X103764,RY2X3,Think Wellbeing Halton,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000027.json,X103764,RY2X3,Think Wellbeing Halton,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,
page_000027.json,X103764,RY2X3,Think Wellbeing Halton,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://www.merseycare.nhs.uk/our-services/halton/talking-therapies
page_000027.json,X103887,1-1445127860,Asterbury Place,1,SRV0314,Care services for people with dementia,1,Telephone,01342 337220
page_000027.json,X103887,1-1445127860,Asterbury Place,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000028.json,X104734,NQTT8,Issa Medical Centre - Sexual Health,1,SRV0228,Musculo-skeletal services,1,Telephone,01257 237 238
page_000028.json,X104734,NQTT8,Issa Medical Centre - Sexual Health,1,SRV0228,Musculo-skeletal services,2,PhoneExt,
page_000028.json,X104803,RY607,Leeds Mental Wellbeing Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0113 843 4388
page_000028.json,X104803,RY607,Leeds Mental Wellbeing Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000028.json,X104803,RY607,Leeds Mental Wellbeing Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,leeds.mws@nhs.net
page_000028.json,X104803,RY607,Leeds Mental Wellbeing Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://leedsmentalwellbeingservice.co.uk/refer-yourself/self-referral-triage-form/
page_000028.json,X105078,RX2H8,Health in Mind Sussex,2,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0300 003 0130
page_000028.json,X105078,RX2H8,Health in Mind Sussex,2,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000028.json,X105078,RX2H8,Health in Mind Sussex,2,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,spft.bhwellbeing@nhs.net
page_000028.json,X105078,RX2H8,Health in Mind Sussex,2,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://www.iaptportal.co.uk/esus.html
page_000028.json,X105286,RH5G4,Talking Therapies - Somerset IAPT Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0300 323 0033
page_000028.json,X105286,RH5G4,Talking Therapies - Somerset IAPT Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000028.json,X105286,RH5G4,Talking Therapies - Somerset IAPT Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,SPTTReferrals@somersetFT.nhs.uk
page_000028.json,X105286,RH5G4,Talking Therapies - Somerset IAPT Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://www.somersetft.nhs.uk/somerset-talking-therapies/online-referral-form/
page_000028.json,X105302,RH5D1,Foundation House,1,SRV0228,Musculo-skeletal services,1,Telephone,0300 365 5678
page_000028.json,X105302,RH5D1,Foundation House,1,SRV0228,Musculo-skeletal services,2,PhoneExt,
page_000028.json,X105339,RT181,CPFT Psychological Wellbeing Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0300 300 0055
page_000028.json,X105339,RT181,CPFT Psychological Wellbeing Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000028.json,X105339,RT181,CPFT Psychological Wellbeing Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,selfreferIAPT@cpft.nhs.uk
page_000028.json,X105339,RT181,CPFT Psychological Wellbeing Service,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://www.iaptportal.co.uk/cam.html
page_000028.json,X105481,1-1535538406,Belong Warrington Care Village,1,SRV0314,Care services for people with dementia,1,Telephone,01625 508700
page_000028.json,X105481,1-1535538406,Belong Warrington Care Village,1,SRV0314,Care services for people with dementia,2,PhoneExt,
page_000028.json,X105877,RP7WK,Steps2Change Stamford,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",1,Telephone,0303 123 4000
page_000028.json,X105877,RP7WK,Steps2Change Stamford,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",2,PhoneExt,
page_000028.json,X105877,RP7WK,Steps2Change Stamford,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",3,Email,lincs.spa@nhs.net
page_000028.json,X105877,RP7WK,Steps2Change Stamford,1,SRV0339,"NHS psychological therapies services (IAPT), including cognitive behavioural therapy (CBT) ",4,Website,https://gateway.mayden.co.uk/referral-v2/c2ce2fcb-3586-4e64-8405-deac6ce440b1
