SourceFile,SearchKey,ODSCode,OrganisationName,AliasIndex,OrganisationAliasId,OrganisationAlias
page_000026.json,X100874,V012692,ENHANCE DENTAL CENTRE,3,26270,Enhance
page_000026.json,X101,RBV01,The Christie main site,1,72,Christie hospital
page_000026.json,X101,RBV01,The Christie main site,2,73,Christies
page_000026.json,X101012,RT1JJ,Cavell Centre,1,24305,Mental Health
page_000026.json,X10104,FNH46,Gunnislake Pharmacy,1,17648,Tamar Valley Health Practices and Pharmacy
page_000026.json,X10115,FNH97,Finstead (Hoxton) Ltd,1,25510,Finstead Pharmacy
page_000026.json,X101222,M85706002,Belchers Lane Surgery,1,19098,"Dr S Ahmad, Dr A Ahmad, Dr I Ahmad"
page_000026.json,X10124,FNJ63,Medicare Chemists,1,17051,Salendine Nook Chemist
page_000026.json,X101273,1-1247631714,Libra Care Limited,1,4500,Libra Care Ltd
page_000026.json,X1013,RJ611,Croydon University Hospital,1,161,Croydon University Hospital
page_000026.json,X1013,RJ611,Croydon University Hospital,2,531,Croydon
page_000026.json,X1013,RJ611,Croydon University Hospital,3,1100,Mayday
page_000026.json,X1013,RJ611,Croydon University Hospital,4,1101,Mayday hospital
page_000026.json,X101336,AF002,GP Hub Purley,1,17731,GP Hub Purley
page_000026.json,X101336,AF002,GP Hub Purley,2,17732,Purley Minor Injuries Unit
page_000026.json,X101336,AF002,GP Hub Purley,3,17733,Purley Walk-in
page_000026.json,X101337,AF003,GP Hub Parkway,1,17734,GP Hub Parkway
page_000026.json,X101337,AF003,GP Hub Parkway,2,17735,Parkway Minor Injuries Unit
page_000026.json,X101337,AF003,GP Hub Parkway,3,17736,Parkway Walk-in
page_000026.json,X10134,FNK14,WENLOCK PHARMACY,1,17532,Wenlock Pharmacy
page_000026.json,X10143,FNK71,BORNO CHEMISTS LIMITED,1,3293,Borno Pharmacy
page_000026.json,X101444,H81068003,North Holmwood Surgery,1,18219,Brockwood Medical Practice
page_000026.json,X101446,C81045003,Royal Primary Care - Whittington,1,18409,Chesterfield Medical Partnership
page_000026.json,X10149,FNK94,Claines Pharmacy,1,24968,Travel Clinic Worcester
page_000026.json,X101511,V009007,JDRM Dental Care Leicester ,1,23947,JDRM Dental Care Leicester
page_000026.json,X101568,L83008002,Efford Surgery,1,18916,Efford Medical Centre
page_000026.json,X10166,FNL62,Holme Pharmacy,1,25278,OPL Enterprises Ltd
page_000026.json,X10172,FNM10,Catto Chemist,1,16732,e12
page_000026.json,X10172,FNM10,Catto Chemist,2,16733,Manor Park
page_000026.json,X10172,FNM10,Catto Chemist,3,16734,High Street North
page_000026.json,X101723,C85019002,Brampton Health Centre Practice,1,18346,Brampton Health Centre
page_000026.json,X101778,V001494,Mr M  S Chabra,1,26575,corner House Battle
page_000026.json,X101778,V001494,Mr M  S Chabra,2,26576,Battle smiles
page_000026.json,X101778,V001494,Mr M  S Chabra,3,26577, dental implants in east sussex 
page_000026.json,X101780,V002215,Mr Michael Lee and Mr Bahader Singh Panesar,1,4817,Weybridge Dental Practice
page_000026.json,X101797,AFW,Primary Eyecare Services Ltd,1,25507,GM Primary Eyecare
page_000026.json,X101797,AFW,Primary Eyecare Services Ltd,2,26069,Primary Eyecare Services
page_000026.json,X101850,NM2,Central London Healthcare Ltd,1,17558,Central London Healthcare CIC
page_000026.json,X10195,FNN18,Birdsfoot Lane Pharmacy,1,16796,birdsfoot pharmacy
page_000026.json,X10195,FNN18,Birdsfoot Lane Pharmacy,2,16797,birdsfoot lane pharmacy
page_000026.json,X10195,FNN18,Birdsfoot Lane Pharmacy,3,16798,"birdsfoot chemist, luton pharmacy"
page_000026.json,X10195,FNN18,Birdsfoot Lane Pharmacy,4,16799,"birdsfoot lane chemist, luton chemist"
page_000026.json,X102108,V005421,765 Dental Care,1,4583,Pickerings Dental Services
page_000026.json,X102109,C/0117-Q59_LN2 1DH,Optique Vision,1,15819,Optique
page_000026.json,X102109,C/0117-Q59_LN2 1DH,Optique Vision,2,15820,optician lincoln
page_000026.json,X102109,C/0117-Q59_LN2 1DH,Optique Vision,3,15821,opticians in lincoln
page_000026.json,X102109,C/0117-Q59_LN2 1DH,Optique Vision,4,15822,optiquevision
page_000027.json,X102150,1-1440243773,Home Instead Westminster,1,26078,Home care westminster
page_000027.json,X102150,1-1440243773,Home Instead Westminster,2,26079,Home care London
page_000027.json,X102190,FVK52,Morpeth Pharmacy,1,4630,Wellway Pharmacy
page_000027.json,X102198,CO-4988_E20 1EJ130614,KITE Opticians,1,16543,kitegb
page_000027.json,X102198,CO-4988_E20 1EJ130614,KITE Opticians,2,16544,kite gb
page_000027.json,X102198,CO-4988_E20 1EJ130614,KITE Opticians,3,16545,kite eyewear
page_000027.json,X102198,CO-4988_E20 1EJ130614,KITE Opticians,4,17675,kite optics limited
page_000027.json,X102266,F81069004,Malting Green Surgery,1,22764,Winstree Medical Practice
page_000027.json,X102312,NKQ,Togetherall,1,16686,Togetherall
page_000027.json,X10234,FNP97,WELL,1,17273,CCS Ltd
page_000027.json,X10234,FNP97,WELL,2,17274,Crewe Complete Solution LTD
page_000027.json,X10234,FNP97,WELL,3,25264,Eagle Bridge pharmacy
page_000027.json,X102508,FVG38,St Martins Pharmacy,1,5602,Stans Pharmacy
page_000027.json,X102508,FVG38,St Martins Pharmacy,2,5603,Stans Superstore
page_000027.json,X102508,FVG38,St Martins Pharmacy,3,5604,St Martins
page_000027.json,X10254,FNQ84,The Village Pharmacy,1,16694,Prestbury Pharmacy
page_000027.json,X10254,FNQ84,The Village Pharmacy,2,17548,Prestbury Village Pharmacy
page_000027.json,X10254,FNQ84,The Village Pharmacy,3,17549,Village Pharmacy
page_000027.json,X1029,RRV03,University College Hospital,1,253,UCH
page_000027.json,X1029,RRV03,University College Hospital,2,809,UCLH
page_000027.json,X1029,RRV03,University College Hospital,3,810,university college hospital
page_000027.json,X1029,RRV03,University College Hospital,4,811,ucl hospitals
page_000027.json,X103,RCF,Airedale NHS Foundation Trust,1,1103,Airedale General Hospital
page_000027.json,X103,RCF,Airedale NHS Foundation Trust,2,1104,Airedale Hospital
page_000027.json,X103,RCF,Airedale NHS Foundation Trust,3,4063,Airedale NHS Trust
page_000027.json,X10303,FNV82,Stone Pharmacy,1,23993,Stone Pharmacy
page_000027.json,X1031,RTH,Oxford University Hospitals NHS Foundation Trust,1,281,Oxford Radcliffe Hospitals
page_000027.json,X1031,RTH,Oxford University Hospitals NHS Foundation Trust,2,893,John Radcliffe Hospital
page_000027.json,X1031,RTH,Oxford University Hospitals NHS Foundation Trust,3,894,ORH
page_000027.json,X103222,FVA38,Million Pharmacy,1,24771,Million Medical Ltd
page_000027.json,X10331,FNX43,HOW WOOD PHARMACY,1,23622,Enimed
page_000027.json,X103364,J82155004,Somerstown Surgery,1,23148,Somerstown Surgery
page_000027.json,X103368,FRJ68,Bramley Pharmacy,1,17437,Bramley Chemist
page_000027.json,X103368,FRJ68,Bramley Pharmacy,2,17438,Spivack Chemist
page_000027.json,X103368,FRJ68,Bramley Pharmacy,3,17439,KSC1T Ltd
page_000027.json,X103368,FRJ68,Bramley Pharmacy,4,17444,Chana Chemist
page_000027.json,X103382,M83617004,Darwin Medical Practice,1,18474,Chasetown Medical Practice
page_000027.json,X103382,M83617004,Darwin Medical Practice,2,23849,Chasetown Medical Centre
page_000027.json,X103407,1-1467097752,SPM Quality Care Limited,1,5093,Caremark (Mansfield)
page_000027.json,X10342,FNY79,Cw Andrew,1,24698,Andrews Pharmacy
page_000027.json,X10343,FNY90,BORNO PHARMACY,1,3286,Borno Chemists Ltd
page_000027.json,X10343,FNY90,BORNO PHARMACY,2,3287,Borno Pharmacy
page_000027.json,X103542,N83608001,Dr Maassarani & Partners (Melling Surgery),1,19555,Melling Surgery
page_000027.json,X103584,N82646001,Dr Jude's Practice Picton,1,21543,Dr Jude's Practice - PICTON BRANCH
page_000027.json,X103600,RT270,CAMHS - Child and Adolescent Mental Health Services - The Royal Oldham Hospital,1,26137,CAMHS - The Royal Oldham Hospital
page_000027.json,X10369,FP158,WELL,1,24197,Well Pharmacy
page_000027.json,X103850,FC104,Ruislip Manor Pharmacy,1,24001,NVS Pharmacy Ruislip
page_000027.json,X103850,FC104,Ruislip Manor Pharmacy,2,24002,Arachem Health Limited
page_000027.json,X103927,Y03082,Harold Wood UTC,1,4713,Walk in centre Harold Wood
page_000027.json,X103927,Y03082,Harold Wood UTC,2,26399,Harold Wood Walk-in Centre
page_000027.json,X10394,FP298,Mudeford Pharmacy,1,17113,Wessex Pharmacies Ltd
page_000027.json,X10413,FP398,H.A. MCPARLAND,1,17205,Cowley Road Pharmacy
page_000027.json,X10413,FP398,H.A. MCPARLAND,2,17206,McParland Uxbridge
page_000027.json,X10413,FP398,H.A. MCPARLAND,3,17207,McParland
page_000027.json,X104174,RV5MA,Lewisham Service User Network (Lewisham SUN Project),1,26718,Lewisham Personality Disorder Service
page_000027.json,X104174,RV5MA,Lewisham Service User Network (Lewisham SUN Project),2,26719,Lewisham Service User Network
page_000027.json,X104174,RV5MA,Lewisham Service User Network (Lewisham SUN Project),3,26720,Touchstone Centre
page_000027.json,X104174,RV5MA,Lewisham Service User Network (Lewisham SUN Project),4,26721,SUN
page_000027.json,X104232,AHH01,Foscote Court (Banbury) Trust,1,16862,The Foscote Hospital
page_000028.json,X104283,NFB,Scan Assure Medical Ultrasound Limited,1,26300,ScanAssure
page_000028.json,X104283,NFB,Scan Assure Medical Ultrasound Limited,2,26301,scan assure
page_000028.json,X104283,NFB,Scan Assure Medical Ultrasound Limited,3,26302,ScanAssure Medical
page_000028.json,X10451,FP632,Lansbury Pharmacy (Hayes),1,17017,Lansbury Pharmacy 
page_000028.json,X104613,R1K,London North West University Healthcare NHS Trust,1,26153,LNWH
page_000028.json,X104613,R1K,London North West University Healthcare NHS Trust,2,26154,NLWH
page_000028.json,X104613,R1K,London North West University Healthcare NHS Trust,3,26155,LNWUHT
page_000028.json,X104613,R1K,London North West University Healthcare NHS Trust,4,26156,NFN
page_000028.json,X104614,J83019003,"The Till Orchard Surgery, High Street",1,22279,The Till Orchard Surgery 
page_000028.json,X104727,NDC07,Kent Talking Therapies,1,26711,Insight IAPT
page_000028.json,X10473,FP764,Badham Pharmacy,1,24232,Badham Pharmacy
page_000028.json,X104734,NQTT8,Issa Medical Centre - Sexual Health,1,5582,Preston and Chorley Musculoskeletal Service
page_000028.json,X104768,FKC39,KNIGHTS HOLLY HALL PHARMACY,1,23385,Knights Holly Hall Pharmacy
page_000028.json,X104768,FKC39,KNIGHTS HOLLY HALL PHARMACY,2,23386,Knights Pharmacy Holly Hall
page_000028.json,X104807,AJ3,St Margarets Hospice,1,16930,Somerset Hospice
page_000028.json,X104807,AJ3,St Margarets Hospice,2,16931,Yeovil Hospice
page_000028.json,X104807,AJ3,St Margarets Hospice,3,16932,Taunton Hospice
page_000028.json,X10485,FP823,WELL,1,26612,Knights Pharmacy
page_000028.json,X10490,FP847,HINGLEYS CHEMIST,1,17717,Hingley Pharmacy
page_000028.json,X10490,FP847,HINGLEYS CHEMIST,2,17718,Hingley Chemist
page_000028.json,X104955,1-1693275237,Meols Drive Care Home with Nursing,1,16602,MHC 
page_000028.json,X104955,1-1693275237,Meols Drive Care Home with Nursing,2,16603,Mentalhealthcare UK Ltd
page_000028.json,X105348,RT1FC,Princess of Wales Hospital - Cambridgeshire and Peterborough NHS Foundation Trust,1,23983,Princess of Wales Hospital
page_000028.json,X105355,D82037001,Newton Flotman Surgery,1,21281,Long Stratton Medical Partnership
page_000028.json,X10538,FPC22,Hollowood Chemist,1,17504,Hollowood Chemists Ltd
page_000028.json,X105461,V000921,Priory Dental,1,16755,Priory Dental
page_000028.json,X105461,V000921,Priory Dental,2,16756,Jeremy and Paice
page_000028.json,X105520,FD423,Wynyard Pharmacy,1,25419,Wynyard
page_000028.json,X105607,NKT,University Medical Centre,1,16475,University Medical Centre Psychological Therapies
page_000028.json,X105642,NLE,Lancaster House Consulting Diagnostics Surgical Ltd,1,26768,"Lancaster House Consulting, Community Healthcare & Diagnosti"
page_000028.json,X105651,NNJ,DHU Health Care CIC,1,24075,Derbyshire Health United Ltd
page_000028.json,X105651,NNJ,DHU Health Care CIC,2,24076,DHU Health Care CIC
page_000028.json,X1057,RK5BC,King's Mill Hospital,1,181,King's Mill 
page_000028.json,X1057,RK5BC,King's Mill Hospital,2,17384,Sherwood Forest Hospitals
page_000028.json,X1057,RK5BC,King's Mill Hospital,3,17385,kingsmill
page_000028.json,X1057,RK5BC,King's Mill Hospital,4,17386,Sherwood Forest Hospitals NHS Foundation Trust
page_000028.json,X105782,V000545,Ashdown Dental Clinic,1,25414,"Mr Ashgari-Coliveri, Mr Rezzadeh Imani, Mr Mihaylo"
page_000028.json,X10585,FPE54,LOMAS PHARMACY,1,24979,BMT Healthcare South Ltd
page_000028.json,X105880,B82005008,Victoria Way Surgery,1,21778,Priory Medical Group - Victoria Way Surgery
page_000028.json,X105881,B82005006,Tang Hall Lane Surgery,1,21777,Priory Medical Group - Tang Hall Lane Surgery
page_000028.json,X105882,B82005007,Park View Surgery,1,22003,Priory Medical Group -  Park View Surgery
page_000028.json,X105884,B82013001,Jennyfield Health Centre,1,19877,Dr Moss & Partners
page_000028.json,X10590,FPE70,Parley Cross Pharmacy,1,17477,MEDICINE CLINIC LTD
page_000028.json,X10590,FPE70,Parley Cross Pharmacy,2,17478,PARLEY CROSS PHARMACY
page_000028.json,X105990,RL_04122014_CO-4763,Linklater & Warren Opticians,1,25664,Linklater Warren Ltd
page_000028.json,X106021,1-1655044756,Ms Latha Kathirkamathamby,1,5167,Blue Crystal Care Agency
page_000029.json,X10620,FPG01,TRUST HESKETH BANK PHARMACY,1,17362,Trust Pharmacy
page_000029.json,X10625,FPG21,CROASDALES,1,17516,croasdales
page_000029.json,X10625,FPG21,CROASDALES,2,17517,pharmacy
page_000029.json,X10625,FPG21,CROASDALES,3,17518,chemist
page_000029.json,X10625,FPG21,CROASDALES,4,17519,cooper
page_000029.json,X10638,FPG76,HUGALL PHARMACY,1,25446,Hugall's Pharmacy
page_000029.json,X10638,FPG76,HUGALL PHARMACY,2,25447,Hugall's Chemist
page_000029.json,X10644,FPH03,The Village Pharmacy,1,24738,Kirby Chemist
page_000029.json,X10652,FPH43,WALKERS PHARMACY,1,24200,D F Walker Pharmacy
page_000029.json,X10652,FPH43,WALKERS PHARMACY,2,24201,Walker Pharmacy
page_000029.json,X10652,FPH43,WALKERS PHARMACY,3,24202,Walkers Pharmacy
page_000029.json,X10652,FPH43,WALKERS PHARMACY,4,24203,D F Walker
page_000029.json,X10656,FPH67,PEAK PHARMACY,1,25511,Peak Pharmacy
page_000029.json,X10661,FPH88,WHITEHOUSE PHARMACY,1,4431,Whitehouse Pharmacy
page_000029.json,X10661,FPH88,WHITEHOUSE PHARMACY,2,4432,penkridge pharmacy
page_000029.json,X10661,FPH88,WHITEHOUSE PHARMACY,3,15673,Northwood Pharmacy 
page_000029.json,X10661,FPH88,WHITEHOUSE PHARMACY,4,17476,market street penkridge
page_000029.json,X10685,FPK31,SHADFORTH PHARMACEUTICAL CO LTD,1,25505,Shadforth Pharmacy
page_000029.json,X10694,FPK67,BROADWAY PHARMACY,1,26096,Broadway Pharmacy
page_000029.json,X10694,FPK67,BROADWAY PHARMACY,2,26097,Fletchers Chemists
page_000029.json,X107015,GOC: 0116240,Eye Smile Ltd,1,4990,Eye Smile Optician
page_000029.json,X107019,L83100,Beacon Medical Group,1,16412,Plym River Practice
page_000029.json,X107020,L83100003,Chaddlewood Medical Practice,1,18788,Chaddlewood Surgery
page_000029.json,X107021,L83100002,Wotter Medical Practice,1,22779,Wotter Surgery
page_000029.json,X107043,FCC39,Rotherham Road Pharmacy,1,25055,CV6 4FR
page_000029.json,X107043,FCC39,Rotherham Road Pharmacy,2,26098,CV64FR
page_000029.json,X107048,F85705001,JS Medical Practice,1,18944,JS Medical Practice (Park Lane)
page_000029.json,X107049,RVNCG,Swindon Talking Therapies,1,15692,Primary Care Psychology
page_000029.json,X107049,RVNCG,Swindon Talking Therapies,2,15693,LIFT
page_000029.json,X10707,FPL31,H A MCPARLAND LTD,1,17202,McParland Trelawney Avenue
page_000029.json,X10707,FPL31,H A MCPARLAND LTD,2,17203,Trelawney Avenue Pharmacy
page_000029.json,X10707,FPL31,H A MCPARLAND LTD,3,17204,McParland
page_000029.json,X107123,RXECE,NHS North Lincolnshire Talking Therapies,1,24508,North Lincs IAPT
page_000029.json,X107123,RXECE,NHS North Lincolnshire Talking Therapies,2,24509,Scunthorpe IAPT
page_000029.json,X107184,1-1733155022,Aevus Limited,1,5259,Home Instead Senior Care Canary Wharf
page_000029.json,X1072,RTRAT,The James Cook University Hospital,1,26687,James Cook
page_000029.json,X1072,RTRAT,The James Cook University Hospital,2,26688,South Cleveland Hospital
page_000029.json,X1072,RTRAT,The James Cook University Hospital,3,26689,South Tees Hospital
page_000029.json,X10722,FPM24,Eastcote Pharmacy,1,23619,Enimed
page_000029.json,X107382,A84045001,The Health Centre,1,18266,Allendale Health Centre
page_000029.json,X107383,L85024001,Woolavington Surgery,1,25217,Polden Medical practice
page_000029.json,X107495,D82044005,Hunstanton Surgery,1,19203,Hunstanton Medical Practice 
page_000029.json,X107496,C84094002,Riverside Gringley,1,19024,Gringley Surgery
page_000029.json,X107543,AMC,Self Help Services,1,16326,Self Help
page_000029.json,X107551,AM6,ieso,1,15910,Online CBT
page_000029.json,X107551,AM6,ieso,2,15911,Psychology online
page_000029.json,X107555,AM5,Outlook South West LLP,1,16631,OSW
page_000029.json,X107555,AM5,Outlook South West LLP,2,16632,Cornwall IAPT
page_000029.json,X107604,M81016001,The Bodenham Surgery,1,22200,The Marches Surgery - Bodenham
page_000029.json,X107607,Y04662,Cranbrook Medical Practice,1,18070,Cranbrook Medical Centre
page_000029.json,X107614,V009219,Woking E D S,1,24590,Emergency Dental Service
page_000029.json,X107614,V009219,Woking E D S,2,24591,Virgin Care Services Limited.
page_000029.json,X107640,AMW,Alliance For Better Care CIC,1,26724,Alliance for Better Care 
page_000029.json,X107640,AMW,Alliance For Better Care CIC,2,26725,ABC
page_000029.json,X107640,AMW,Alliance For Better Care CIC,3,26726,Alliance for Better Care CIC
page_000029.json,X107640,AMW,Alliance For Better Care CIC,4,26727,Alliance for Better Care Community Interest Company 
page_000029.json,X107648,AKE,ID Medical Group Ltd,1,26611,ID Medical
page_000029.json,X10774,FPP91,Deane Pharmacy,1,17047,Late Night Deane Pharmacy Bolton
page_000029.json,X10776,FPP98,LO'S PHARMACY,1,5420,Lo's Pharmacy
page_000029.json,X10776,FPP98,LO'S PHARMACY,2,5421,Lo Pharmacy
page_000029.json,X107881,FPH60,Day Night Pharmacy,1,16778,daynight
page_000029.json,X107881,FPH60,Day Night Pharmacy,2,16779,daynightpharmacy
page_000029.json,X107881,FPH60,Day Night Pharmacy,3,16780,day night
page_000029.json,X1080,RVV09,Queen Elizabeth The Queen Mother Hospital,1,310,QEQM
page_000029.json,X1080,RVV09,Queen Elizabeth The Queen Mother Hospital,2,311,Queen Elizabeth
page_000029.json,X1080,RVV09,Queen Elizabeth The Queen Mother Hospital,3,312,Thanet Hospital
page_000029.json,X108005,ALR,Birmingham Mental Health Consortium,1,17012,Living Well Consortium
page_000029.json,X10813,FPR46,THE PHARMACY,1,25898,The Pharmacy
page_000029.json,X10813,FPR46,THE PHARMACY,2,25899,"The Pharmacy, Elland"
page_000029.json,X10813,FPR46,THE PHARMACY,3,25900,Andrew Hirst Pharmacy
page_000029.json,X108143,01-21451,NVision Eyecare,1,5138,optician
page_000029.json,X108143,01-21451,NVision Eyecare,2,5139,eyecare
page_000029.json,X108143,01-21451,NVision Eyecare,3,5140,sight test
page_000029.json,X108143,01-21451,NVision Eyecare,4,5141,birmingham
page_000029.json,X108145,01-21451 - 1,NVision Eyecare,1,5146,optician
page_000029.json,X108145,01-21451 - 1,NVision Eyecare,2,5147,eyecare
page_000029.json,X108145,01-21451 - 1,NVision Eyecare,3,5148,sight test 
page_000029.json,X108145,01-21451 - 1,NVision Eyecare,4,5149,wolverhampton
page_000029.json,X108175,V002863,"Bupa Dental Care, Epsom",1,15870,Oasis Dental Care
page_000030.json,X10824,FPT19,Medicure Pharmacy,1,24737,newell chemist
page_000030.json,X10824,FPT19,Medicure Pharmacy,2,25765,Medicure
page_000030.json,X10824,FPT19,Medicure Pharmacy,3,25766,Covid-19
page_000030.json,X10824,FPT19,Medicure Pharmacy,4,25767,Coronavirus 
page_000030.json,X108264,ANQ,Durham Dales Health Federation,1,17883,DDHF
page_000030.json,X108266,ANN,Integrated Community Care Ltd,1,26728,ICC Ltd
page_000030.json,X108266,ANN,Integrated Community Care Ltd,2,26729,Memory Assessment Service 
page_000030.json,X108266,ANN,Integrated Community Care Ltd,3,26730,Vasectomy Service 
page_000030.json,X108266,ANN,Integrated Community Care Ltd,4,26731,GP Federation 
page_000030.json,X10835,FPV06,Fairmans Pharmacy,1,2312,fairman
page_000030.json,X10835,FPV06,Fairmans Pharmacy,2,2313,fairmans
page_000030.json,X10835,FPV06,Fairmans Pharmacy,3,16318,numark
page_000030.json,X108371,FJ023,Hobbs Pharmacy,1,16983,Butt & Hobbs Limited 
page_000030.json,X1084,RK925,Child Development Centre,1,185,Plymouth Child Development Centre
page_000030.json,X10847,FPV55,Cohens Chemist,1,1496,The Pharmacy at Darwen Health Centre
page_000030.json,X108489,1-1549241426,Cleveland Care at Home Limited,1,26384,Home Instead Cleveland
page_000030.json,X108489,1-1549241426,Cleveland Care at Home Limited,2,26385,Home Instead Senior Care Cleveland
page_000030.json,X108489,1-1549241426,Cleveland Care at Home Limited,3,26386,Home Instead
page_000030.json,X1087,RW3,Central Manchester University Hospitals NHS Foundation Trust,1,318,Dental Hospital
page_000030.json,X1087,RW3,Central Manchester University Hospitals NHS Foundation Trust,2,319,Manchester Royal Eye Hospital
page_000030.json,X1087,RW3,Central Manchester University Hospitals NHS Foundation Trust,3,320,MRI
page_000030.json,X1087,RW3,Central Manchester University Hospitals NHS Foundation Trust,4,321,St. Mary's
page_000030.json,X108719,FAX61,Mileusnic Chemist,1,17219,pharmacy in batley
page_000030.json,X108719,FAX61,Mileusnic Chemist,2,17220,mileusnic
page_000030.json,X108719,FAX61,Mileusnic Chemist,3,17221,george mileusnic
page_000030.json,X108719,FAX61,Mileusnic Chemist,4,17222,batley
page_000030.json,X108722,F81213002,Thorpe-le-Soken Surgery (Kirby Cross Branch),1,22916,Frinton Road Surgery
page_000030.json,X108736,NT3X3,Spire St Anthony's Hospital,1,17590,St Anthony's 
page_000030.json,X108736,NT3X3,Spire St Anthony's Hospital,2,17591,St Anthonys 
page_000030.json,X108736,NT3X3,Spire St Anthony's Hospital,3,17592,St Anthony's Hospital 
page_000030.json,X10879,FPX56,HINGLEYS CHEMIST,1,17712,Hingley Pharmacy
page_000030.json,X10879,FPX56,HINGLEYS CHEMIST,2,17713,Hingley Chemist
page_000030.json,X108805,J82055001,Salisbury Road Surgery,1,18653,Craneswater Group Practice - Salisbury Road
page_000030.json,X108813,J82018001,Old Anchor Surgery (Branch of Stokewood Surgery),1,22420,Old Anchor Surgery
page_000030.json,X108815,B82026004,"Haxby Group Practice, Gale Farm Surgery",1,19175,"Haxby Group Practice, Gale Farm Surgery"
page_000030.json,X108823,FAG93,Kamsons Pharmacy,1,5380,Waremoss Ltd
page_000030.json,X108823,FAG93,Kamsons Pharmacy,2,5381,Medicx Pharmacy
page_000030.json,X108823,FAG93,Kamsons Pharmacy,3,5382,Jubilee 
page_000030.json,X108823,FAG93,Kamsons Pharmacy,4,5383,Shotfield
page_000030.json,X108825,FJF91,Stag Chemist,1,24552,Stag Stores with Instore Chemist
page_000030.json,X108825,FJF91,Stag Chemist,2,24553,Stag News
page_000030.json,X108827,FP206,WAINSCOTT PHARMACY,1,25693,Wainscott Pharmacy
page_000030.json,X108827,FP206,WAINSCOTT PHARMACY,2,25694,Medipharmacy Wainscott
page_000030.json,X108827,FP206,WAINSCOTT PHARMACY,3,25695,Parks Medical
page_000030.json,X108829,FW759,Lawsat Pharm Ltd,1,25696,Higham Pharmacy
page_000030.json,X108829,FW759,Lawsat Pharm Ltd,2,25697,Medipharm Higham
page_000030.json,X108829,FW759,Lawsat Pharm Ltd,3,25698,School Lane
page_000030.json,X108834,FFE74,CLIFFE WOODS PHARMACY,1,25685,Cliffewoods Pharmacy
page_000030.json,X108834,FFE74,CLIFFE WOODS PHARMACY,2,25686,Marshland Pharmacy
page_000030.json,X108834,FFE74,CLIFFE WOODS PHARMACY,3,25687,Cliffe Pharmacy
